uid,group_id,source,locale,article_id,url,title,content,raw_category,content_hash,post_time,update_time,fetched_at,status,category,is_region_exclusive,push_status,source_endpoint
e75aa0f138fd35e8f6a4d2387c8f72f88d9e4fb0cef8d5d1dae7fabe61dcc908,zoomex_4116,Zoomex,EN,4116,,"PURRUSDT, SNOWUSDT, VRTUSDT, GEVUSDT, SKHYUSDT Stock Perpetuals Are Now Live","Dear Zoomex Traders,
Zoomex has officially listed several new Stock Perpetual contracts, providing our users with a more diverse range of trading options.
USDT Perpetual Contract	Underlying Asset	Max Leverage	Minimum Price Precision	Funding Rate Cap
PURRUSDT	Hyperliquid Strategies Inc (PURR)	20	0.001	0.025
SNOWUSDT	Snowflake Inc (SNOW)	20	0.01	0.025
VRTUSDT	Vertiv Holdings (VRT)	20	0.01	0.025
GEVUSDT	GE Vernova Inc. (GEV)	20	0.01	0.025
SKHYUSDT	SK Hynix Inc ADR (tracks 1/10 of KRX: 000660) (SKHY)	25	0.01	0.02
The above Stock Perpetual contracts share the exact same trading mechanics, order placement process, and fee structure as standard USDT Perpetual contracts. They support USDT settlement, Cross and Isolated Margin modes, as well as two-way trading (Long/Short). Trading is available 24/7, with a funding fee settlement mechanism occurring every 8 hours.
How to Start Trading
You can head straight to the Derivatives/Futures trading page and type the name of the stock contract you wish to trade in the search bar, or navigate to the [Stock] category under the Perpetual trading section. Once you locate your desired asset, you're ready to start trading.
Note:
Zoomex reserves the right to adjust the parameters of the relevant contracts based on market conditions, including but not limited to minimum price precision (tick size), maximum leverage, initial margin rate, maintenance margin rate, maximum order size for limit and market orders, funding rates, as well as the calculation methods for mark price and index price.
🎉 Limited-Time Perk | Trade Stock Contract Perpetuals with 0 Fees!
Register Now
Thank you for your continued support of Zoomex.
If you have any questions, please contact us by submitting a support ticket to: support@zoomex.com
The Zoomex Team",26,d7899ad3e5ca294e61703a5c7e97aecbe928f8257d1e783acd6959b5fa6e9595,2026-07-13T08:33:08Z,2026-07-13T10:50:44Z,2026-07-14T08:26:50Z,new,listing,0,pending,https://api2.zoomex.com/gw/pub/v1/helpCenter/getArticleListByMenuId
b9549080796f6527c693f98f110807ce015c5e5d7e3b80081dfe49dbf58167c6,zoomex_4112,Zoomex,EN,4112,,"SONYUSDT, SHAZUSDT, COSTUSDT Stock Perpetuals Are Now Live","Dear Zoomex Traders,
Zoomex has officially listed several new Stock Perpetual contracts, providing our users with a more diverse range of trading options.
USDT Perpetual Contract	Underlying Asset	Max Leverage	Minimum Price Precision	Funding Rate Cap
SONYUSDT	Sony Group (SONY)	20	0.01	2.5%
SHAZUSDT	Sharonai Holdings (SHAZ)	20	0.01	2.5%
COSTUSDT	Costco Wholesale Corporation (COST)	20	0.01	2.5%
The above Stock Perpetual contracts share the exact same trading mechanics, order placement process, and fee structure as standard USDT Perpetual contracts. They support USDT settlement, Cross and Isolated Margin modes, as well as two-way trading (Long/Short). Trading is available 24/7, with a funding fee settlement mechanism occurring every 8 hours.
How to Start Trading
You can head straight to the Derivatives/Futures trading page and type the name of the stock contract you wish to trade in the search bar, or navigate to the [Stock] category under the Perpetual trading section. Once you locate your desired asset, you're ready to start trading.
Note:
Zoomex reserves the right to adjust the parameters of the relevant contracts based on market conditions, including but not limited to minimum price precision (tick size), maximum leverage, initial margin rate, maintenance margin rate, maximum order size for limit and market orders, funding rates, as well as the calculation methods for mark price and index price.
🎉 Limited-Time Perk | Trade Stock Contract Perpetuals with 0 Fees!
Register Now
Thank you for your continued support of Zoomex.
If you have any questions, please contact us by submitting a support ticket to: support@zoomex.com
The Zoomex Team",26,f609678741f9c0d23dfd62e1776d6b85416ce4522c66e6f7769efd23d88d8a51,2026-07-09T09:29:24Z,2026-07-10T08:36:03Z,2026-07-14T08:26:51Z,new,listing,0,pending,https://api2.zoomex.com/gw/pub/v1/helpCenter/getArticleListByMenuId
b6ed42df426ce9fd59a43beeceb006e8e771f73ba87a3e357c11707b666d8f28,zoomex_4113,Zoomex,EN,4113,,"Delisting of  KORUUSDT Perpetual Contracts","Dear Zoomex Users:
Zoomex will delist the  KORUUSDT perpetual contracts on  July 13, 2026, at 10:00 UTC.
On July 13, 2026, at 10:00 UTC.
-   KORUUSDT Perpetual Contracts will be delisted and trading will no longer be supported.
- All active and conditional orders for the  KORUUSDT Perpetual Contracts will be canceled.
- All open positions for the  KORUUSDT Perpetual Contracts will be closed, based on the average index price of the last 30 minutes before delisting.
Please take note of this timeline, and manage your orders and positions reasonably.
We apologize for any inconvenience caused. If you have any questions, please email to support@zoomex.com",26,5601447b4fa264d1a084f3b6028e45e3e8c4760ec4ac9cf1975bcea6db3215cb,2026-07-09T09:52:57Z,2026-07-10T08:35:43Z,2026-07-14T08:26:52Z,new,delisting,0,pending,https://api2.zoomex.com/gw/pub/v1/helpCenter/getArticleListByMenuId
9dac2e53074c4323657d1f33c06eb1b2f89bca89c2509dbe12d04fced57f6027,zoomex_4114,Zoomex,EN,4114,,"Notice of ETH (ERC20) Deposit Suspension During Wallet Upgrade","Dear User,
Zoomex will perform a wallet upgrade for the ETH (ERC20) network from 7:30am to 9:00am (UTC) on July 10, 2026.
During the upgrade, deposit services on the ETH (ERC20) network will be temporarily suspended.
Deposit services will resume once the upgrade is complete. The exact time of service restoration will depend on the progress of the upgrade, and no further announcement will be made once services have resumed.
We apologize for any inconvenience caused and appreciate your understanding and support.
If you have any questions, please contact our customer support at: support@zoomex.com",26,cce5555310c7eb4c53ee57bdeac72694f7b683b3fba00b0d4dfb11a72aa00111,2026-07-10T07:18:35Z,2026-07-10T07:18:45Z,2026-07-14T08:26:53Z,new,product,0,pending,https://api2.zoomex.com/gw/pub/v1/helpCenter/getArticleListByMenuId
b72158be7f2b39d1971d4168f157e6866ec6254a2a904fb81ea97bf1914d72f1,zoomex_4110,Zoomex,EN,4110,,"Delisting of SWARMSUSDT，ESUSDT Perpetual Contracts","Dear Zoomex Users:
Zoomex will delist the SWARMSUSDT，ESUSDT perpetual contracts on  July 10, 2026, at 9:00 UTC.
On July 10, 2026, at 9:00 UTC.
-  SWARMSUSDT，ESUSDT Perpetual Contracts will be delisted and trading will no longer be supported.
- All active and conditional orders for the SWARMSUSDT，ESUSDT Perpetual Contracts will be canceled.
- All open positions for the SWARMSUSDT，ESUSDT Perpetual Contracts will be closed, based on the average index price of the last 30 minutes before delisting.
Please take note of this timeline, and manage your orders and positions reasonably.
We apologize for any inconvenience caused. If you have any questions, please email to support@zoomex.com",26,9a018496dc2d5a11d2d965d70368bb81ad6bfea7a0c180dd34ffc7c672585d51,2026-07-08T07:45:38Z,2026-07-09T09:35:48Z,2026-07-14T08:26:54Z,new,delisting,0,pending,https://api2.zoomex.com/gw/pub/v1/helpCenter/getArticleListByMenuId
db67a9e08a64bd995f14fb409af91801b60504302b9a5233f871c2af1c7c6076,zoomex_4111,Zoomex,EN,4111,,"Notice on the Delisting of NAKA","Dear Zoomex Users,
Zoomex will delist and cease trading on all spot trading pairs for the following token(s):
NAKA
Key Timeline
- Deposits Closure: After 2026-7-14 8AM UTC
- Trading Closure: After 2026-7-14 8AM UTC
- All open positions/ new orders will be automatically canceled.
- Withdrawals Closure: After 2026-7-14 8AM UTC
Additional Information
- Delisted tokens above the minimum conversion amount may be converted into stablecoins after 2026-7-14 8AM UTC, but conversion and exchange rate are not guaranteed.
- Users are advised to monitor the above timeline and manage their assets accordingly. Zoomex shall not be liable for any losses resulting from failure to take timely action.
For further assistance, please contact support@zoomex.com
Thank you for your continued support.
Zoomex Team",26,92ca15afe443466777f2ca217f6763163c740d7a04e2b47d0ac51a4aeec62c9f,2026-07-09T08:40:53Z,2026-07-09T08:41:23Z,2026-07-14T08:26:55Z,new,delisting,0,pending,https://api2.zoomex.com/gw/pub/v1/helpCenter/getArticleListByMenuId
ecb9001a57c80db1b443d67986fc0a6a700802fa5221cedc0412b03087183a2f,zoomex_4108,Zoomex,EN,4108,,"Notice of ETH (ERC20) Deposit Suspension During Wallet Upgrade","Dear User,
Zoomex will perform a wallet upgrade for the ETH (ERC20) network from 6:30am to 7:30am (UTC) on July 8, 2026.
During the upgrade, deposit services on the ETH (ERC20) network will be temporarily suspended.
Deposit services will resume once the upgrade is complete. The exact time of service restoration will depend on the progress of the upgrade, and no further announcement will be made once services have resumed.
We apologize for any inconvenience caused and appreciate your understanding and support.
If you have any questions, please contact our customer support at: support@zoomex.com",26,14dd11013dd24939b96c58ccede8b6abd633c933139c5cf9d1388741b6be8f7b,2026-07-07T09:53:17Z,2026-07-07T10:59:12Z,2026-07-14T08:26:56Z,new,product,0,pending,https://api2.zoomex.com/gw/pub/v1/helpCenter/getArticleListByMenuId
03275f3df23668af0bb19604fd921c71b717af9d1364e136109900e5c2686bfe,zoomex_4104,Zoomex,EN,4104,,"BOTUSDT, CATSTOCKUSDT, TXNUSDT Stock Perpetuals Are Now Live","Dear Zoomex Traders,
Zoomex has officially listed several new Stock Perpetual contracts, providing our users with a more diverse range of trading options.
USDT Perpetual Contract	Underlying Asset	Max Leverage	Minimum Price Precision	Funding Rate Cap
BOTUSDT	Robostrategy Inc (BOT)	20	0.01	2.5%
CATSTOCKUSDT	Caterpillar (CATSTOCK)	20	0.01	2.5%
TXNUSDT	Texas Instruments (TXN)	20	0.01	2.5%
TERUSDT	Teradyne Inc (TER)	20	0.01	2.5%
The above Stock Perpetual contracts share the exact same trading mechanics, order placement process, and fee structure as standard USDT Perpetual contracts. They support USDT settlement, Cross and Isolated Margin modes, as well as two-way trading (Long/Short). Trading is available 24/7, with a funding fee settlement mechanism occurring every 8 hours.
How to Start Trading
You can head straight to the Derivatives/Futures trading page and type the name of the stock contract you wish to trade in the search bar, or navigate to the [Stock] category under the Perpetual trading section. Once you locate your desired asset, you're ready to start trading.
Note:
Zoomex reserves the right to adjust the parameters of the relevant contracts based on market conditions, including but not limited to minimum price precision (tick size), maximum leverage, initial margin rate, maintenance margin rate, maximum order size for limit and market orders, funding rates, as well as the calculation methods for mark price and index price.
🎉 Limited-Time Perk | Trade Stock Contract Perpetuals with 0 Fees!
Register Now
Thank you for your continued support of Zoomex.
If you have any questions, please contact us by submitting a support ticket to: support@zoomex.com
The Zoomex Team",26,a20ed31ba8b220e0faf2788a3e562d5f323367f6b7263fb0458b263d6cdae0c8,2026-07-03T09:49:02Z,2026-07-03T11:37:50Z,2026-07-14T08:26:57Z,new,listing,0,pending,https://api2.zoomex.com/gw/pub/v1/helpCenter/getArticleListByMenuId
32f9b4b14fb7ca112b51b4003b667e902ee9c9e1dc93fcf075a055128e6dec99,zoomex_4102,Zoomex,EN,4102,,"ALABUSDT, CIENUSDT, ADBEUSDT, MVLLUSDT, SQQQUSDT Stock Perpetuals Are Now Live","Dear Zoomex Traders,
Zoomex has officially listed several new Stock Perpetual contracts, providing our users with a more diverse range of trading options.
USDT Perpetual Contract	Underlying Asset	Max Leverage	Minimum Price Precision	Funding Rate Cap
SQQQUSDT	Proshares Ultrapro Short QQQ (SQQQ)	20	0.01	2.5%
MVLLUSDT	Graniteshares 2x long Mrvl Daily ETF (MVLL)	20	0.01	2.5%
ADBEUSDT	Adobe Inc (ADBE)	20	0.01	2.5%
CIENUSDT	Ciena Corp (CIEN)	20	0.01	2.5%
ALABUSDT	Astera Labs Inc (ALAB)	20	0.01	2.5%
The above Stock Perpetual contracts share the exact same trading mechanics, order placement process, and fee structure as standard USDT Perpetual contracts. They support USDT settlement, Cross and Isolated Margin modes, as well as two-way trading (Long/Short). Trading is available 24/7, with a funding fee settlement mechanism occurring every 8 hours.
How to Start Trading
You can head straight to the Derivatives/Futures trading page and type the name of the stock contract you wish to trade in the search bar, or navigate to the [Stock] category under the Perpetual trading section. Once you locate your desired asset, you're ready to start trading.
Note:
Zoomex reserves the right to adjust the parameters of the relevant contracts based on market conditions, including but not limited to minimum price precision (tick size), maximum leverage, initial margin rate, maintenance margin rate, maximum order size for limit and market orders, funding rates, as well as the calculation methods for mark price and index price.
🎉 Limited-Time Perk | Trade Stock Contract Perpetuals with 0 Fees!
Register Now
Thank you for your continued support of Zoomex.
If you have any questions, please contact us by submitting a support ticket to: support@zoomex.com
The Zoomex Team",26,fd5765db9d533dce21ddede2ff7a852038e38a0831c41158a1130260677c787f,2026-07-01T08:19:24Z,2026-07-03T11:35:12Z,2026-07-14T08:26:59Z,new,listing,0,pending,https://api2.zoomex.com/gw/pub/v1/helpCenter/getArticleListByMenuId
1cef1b8d9c1678c86af9add3b708ca6f67171b3422856028c4682e2202f9b123,zoomex_4097,Zoomex,EN,4097,,"Announcement on preSPAX Trading Termination and Platform Buyback Compensation","Dear Users,
Due to anomalies in liquidity management and trade matching from the preSPAX project team, the platform will conduct a unified buyback and refund for eligible preSPAX holders to ensure a secure asset-handling experience.
Trading for the preSPAX/USDT pair will be suspended on July 2, 2026, at 3:00 (UTC). From that moment on, buy, sell, and new order placement features will no longer be supported.
Once trading is suspended, the system will automatically process all unexecuted and partially executed orders. Any USDT frozen in buy orders will be returned to user accounts, and preSPAX frozen in sell orders will be released back to available assets and included in the subsequent buyback statistics. Executed portions of orders will be recorded in your asset history based on the actual trade results.
The platform will use the preSPAX closing price on July 2, 2026, at 00:00 (UTC) as the basis for the final buyback price. Eligible users' preSPAX holdings will be converted and refunded to their accounts in USDT on the same day.
Furthermore, to show our appreciation for your understanding and support, the platform will distribute an additional 50 USDT in platform Futures Bonus to eligible users as compensation.
The product cards, trading entrances, and buying/selling functions related to preSPAX will be officially delisted on July 3, 2026, at 3:00 (UTC). After the delisting, users will no longer be able to access preSPAX-related trading pages.
Thank you for your understanding and continuous support. If you have any questions, please contact us promptly at: support@zoomex.com
The Zoomex Team",26,9a40b03cdd48e0c3b1e2655dfc097cc13efa1d25271d2ad6063f0b08a5c9f23a,2026-06-30T07:19:19Z,2026-06-30T13:38:18Z,2026-07-14T08:27:00Z,new,campaign,0,pending,https://api2.zoomex.com/gw/pub/v1/helpCenter/getArticleListByMenuId
